"Title"	"Year"	"Genres"	"Language"	"Country"	"Content Rating"	"Duration"	"Aspect Ratio"	"Budget"	"Gross Earnings"	"Director"	"Actor 1"	"Actor 2"	"Actor 3"	"Facebook Likes - Director"	"Facebook Likes - Actor 1"	"Facebook Likes - Actor 2"	"Facebook Likes - Actor 3"	"Facebook Likes - cast Total"	"Facebook likes - Movie"	"Facenumber in posters"	"User Votes"	"Reviews by Users"	"Reviews by Crtiics"	"IMDB Score"
"Green Zone "	2010	"Action|Drama|Thriller|War"	"English"	"France"	"R"	115	2.35	1e+08	35024475	"Paul Greengrass"	"Matt Damon"	"Sean Huze"	"Igal Naor"	521	13000	537	95	13761	0	1	110364	261	266	6.9
"Griff the Invisible "	2010	"Comedy|Drama|Romance|Sci-Fi"	"English"	"Australia"	"PG-13"	90	1.85	NA	NA	"Leon Ford"	"Maeve Dermody"	"Patrick Brammall"	"Kelly Paterniti"	18	130	96	39	362	0	1	4173	32	57	6.1
"Grown Ups "	2010	"Comedy"	"English"	"USA"	"PG-13"	102	1.85	8e+07	162001186	"Dennis Dugan"	"Steve Buscemi"	"Adam Sandler"	"Salma Hayek"	221	12000	11000	4000	28497	12000	4	181443	311	179	6
"Gulliver's Travels "	2010	"Adventure|Comedy|Family|Fantasy"	"English"	"USA"	"PG"	85	2.35	1.12e+08	42776259	"Rob Letterman"	"James Corden"	"Catherine Tate"	"Olly Alexander"	11	480	392	116	1173	0	1	53160	121	184	4.9
"Gunless "	2010	"Action|Comedy|Drama|Western"	"English"	"Canada"	NA	89	2.35	1e+07	NA	"William Phillips"	"Tyler Mane"	"Callum Rennie"	"Dustin Milligan"	3	764	716	499	2876	850	1	3015	27	15	6.5
"Harry Potter and the Deathly Hallows: Part I "	2010	"Fantasy"	"English"	"UK"	NA	NA	NA	NA	NA	"Matt Birch"	"Rupert Grint"	"Toby Jones"	"Alfred Enoch"	0	10000	2000	1000	14719	25	1	252	2	4	6.4
"Hereafter "	2010	"Drama|Fantasy"	"English"	"USA"	"PG-13"	129	2.35	5e+07	32741596	"Clint Eastwood"	"Matt Damon"	"Jay Mohr"	"Cécile De France"	16000	13000	563	447	14344	16000	0	80140	323	315	6.5
"Hesher "	2010	"Drama"	"English"	"USA"	"R"	106	2.35	7e+06	382946	"Spencer Susser"	"Joseph Gordon-Levitt"	"Natalie Portman"	"Rainn Wilson"	58	23000	20000	973	44969	19000	0	43965	99	134	7.1
"Hot Tub Time Machine "	2010	"Comedy|Sci-Fi"	"English"	"USA"	"R"	101	1.85	3.6e+07	50213619	"Steve Pink"	"Charlie McDermott"	"Collette Wolfe"	"Crystal Lowe"	38	496	390	318	1272	12000	8	139184	243	265	6.4
"Housefull "	2010	"Comedy"	"Hindi"	"India"	NA	144	NA	NA	1165104	"Sajid Khan"	"Arjun Rampal"	"Boman Irani"	"Riteish Deshmukh"	0	564	154	119	1121	250	5	8598	43	10	5.3
"How Do You Know "	2010	"Comedy|Drama|Romance"	"English"	"USA"	"PG-13"	121	1.85	1.2e+08	30212620	"James L. Brooks"	"Shelley Conn"	"Domenick Lombardozzi"	"Teyonah Parris"	274	273	216	157	993	0	4	35066	196	168	5.3
"How to Train Your Dragon "	2010	"Adventure|Animation|Family|Fantasy"	"English"	"USA"	"PG"	98	2.35	1.65e+08	217387997	"Dean DeBlois"	"Gerard Butler"	"America Ferrera"	"Craig Ferguson"	255	18000	953	759	20453	33000	0	485430	492	288	8.2
"I Spit on Your Grave "	2010	"Horror|Thriller"	"English"	"USA"	"R"	105	2.35	2e+06	92401	"Steven R. Monroe"	"Sarah Butler"	"Chad Lindberg"	"Daniel Franzese"	68	635	445	374	2423	17000	0	56402	209	225	6.3
"I Want Your Money "	2010	"Documentary"	"English"	"USA"	"PG"	92	1.78	4e+05	425899	"Ray Griggs"	"Bill Farmer"	"Chris Cox"	"Mike Huckabee"	4	93	31	12	168	638	0	1123	31	4	5.1
"Incendies "	2010	"Drama|Mystery|War"	"French"	"Canada"	"R"	139	1.85	6800000	6857096	"Denis Villeneuve"	"Lubna Azabal"	"Mélissa Désormeaux-Poulin"	"Ahmad Massad"	777	131	66	58	343	37000	0	80429	156	226	8.2
"Inception "	2010	"Action|Adventure|Sci-Fi|Thriller"	"English"	"USA"	"PG-13"	148	2.35	1.6e+08	292568851	"Christopher Nolan"	"Leonardo DiCaprio"	"Tom Hardy"	"Joseph Gordon-Levitt"	22000	29000	27000	23000	81115	175000	0	1468200	2803	642	8.8
"Inside Job "	2010	"Crime|Documentary"	"English"	"USA"	"PG-13"	105	2.35	NA	4311834	"Charles Ferguson"	"Matt Damon"	"George W. Bush"	"Barney Frank"	117	13000	125	18	13145	63000	0	55382	129	171	8.3
"Insidious "	2010	"Fantasy|Horror|Mystery|Thriller"	"English"	"USA"	"PG-13"	103	2.35	1500000	53991137	"James Wan"	"Lin Shaye"	"Barbara Hershey"	"Philip Friedman"	0	852	618	588	3030	60000	1	202800	752	445	6.8
"Iron Man 2 "	2010	"Action|Adventure|Sci-Fi"	"English"	"USA"	"PG-13"	124	2.35	2e+08	312057433	"Jon Favreau"	"Robert Downey Jr."	"Scarlett Johansson"	"Jon Favreau"	4000	21000	19000	4000	48638	18000	4	522371	723	453	7
"It's a Wonderful Afterlife "	2010	"Comedy|Drama|Horror|Romance"	"English"	"UK"	"PG-13"	100	2.35	1e+07	NA	"Gurinder Chadha"	"Sendhil Ramamurthy"	"Mark Addy"	"Shabana Azmi"	98	1000	891	95	2227	695	1	1250	16	31	5.4
"It's Kind of a Funny Story "	2010	"Comedy|Drama|Romance"	"English"	"USA"	"PG-13"	101	1.85	8e+06	6350058	"Anna Boden"	"Zoë Kravitz"	"Jeremy Davies"	"Jim Gaffigan"	16	943	769	472	2786	20000	3	106098	150	163	7.2
"Jackass 3D "	2010	"Action|Comedy|Documentary"	"English"	"USA"	"R"	101	1.78	2e+07	117224271	"Jeff Tremaine"	"Bam Margera"	"Steve-O"	"Chris Pontius"	79	608	362	218	1787	0	1	47794	81	156	7.1
"Jonah Hex "	2010	"Action|Drama|Fantasy|Thriller|Western"	"English"	"USA"	"PG-13"	81	2.35	4.7e+07	10539414	"Jimmy Hayward"	"Michael Fassbender"	"Billy Blair"	"Julia Jones"	39	13000	541	364	14619	0	1	45729	176	178	4.7
"Just Wright "	2010	"Comedy|Romance|Sport"	"English"	"USA"	"PG"	100	2.35	NA	21520719	"Sanaa Hamri"	"Common"	"Laz Alonso"	"Mehcad Brooks"	43	988	826	696	3906	0	1	10103	36	70	5.8
"Kick-Ass "	2010	"Action|Comedy"	"English"	"UK"	"R"	117	2.35	3e+07	48043505	"Matthew Vaughn"	"Elizabeth McGovern"	"Deborah Twiss"	"Michael Rispoli"	905	553	488	385	2357	36000	1	435864	801	447	7.7
"Killers "	2010	"Action|Comedy|Romance|Thriller"	"English"	"USA"	"PG-13"	100	2.35	7.5e+07	47000485	"Robert Luketic"	"Tom Selleck"	"Lisa Ann Walter"	"Catherine O'Hara"	126	19000	1000	925	25206	0	2	72867	120	140	5.4
"Kites "	2010	"Action|Drama|Romance|Thriller"	"English"	"India"	NA	90	NA	6e+08	1602466	"Anurag Basu"	"Bárbara Mori"	"Steven Michael Quezada"	"Kabir Bedi"	116	594	412	303	1836	0	0	9673	106	41	6
"Knight and Day "	2010	"Action|Comedy|Romance"	"English"	"USA"	"PG-13"	117	2.35	1.17e+08	76418654	"James Mangold"	"Tom Cruise"	"Marc Blucas"	"Jordi Mollà"	446	10000	973	877	12731	11000	0	148280	348	283	6.3
"Leap Year "	2010	"Comedy|Romance"	"English"	"USA"	"PG"	100	2.35	1.9e+07	12561	"Anand Tucker"	"Adam Scott"	"Kaitlin Olson"	"Dominique McElligott"	14	3000	547	356	4094	13000	2	71276	181	134	6.4
"Legend of the Guardians: The Owls of Ga'Hoole "	2010	"Action|Adventure|Animation|Family|Fantasy"	"English"	"USA"	"PG"	101	2.35	8e+07	55673333	"Zack Snyder"	"Abbie Cornish"	"Richard Roxburgh"	"Anthony LaPaglia"	0	2000	653	577	4286	16000	1	65785	160	188	7
"Legion "	2010	"Action|Fantasy|Horror"	"English"	"USA"	"R"	100	2.35	2.6e+07	40168080	"Scott Stewart"	"Dennis Quaid"	"Kate Walsh"	"Charles S. Dutton"	124	2000	850	534	3889	0	0	80870	315	226	5.2
"Let Me In "	2010	"Drama|Fantasy|Horror|Mystery"	"English"	"UK"	"R"	116	2.35	2e+07	12134420	"Matt Reeves"	"Chloë Grace Moretz"	"Dylan Minnette"	"Kodi Smit-McPhee"	198	17000	1000	884	20258	25000	0	92237	366	390	7.2
"Letters to God "	2010	"Drama|Family"	"English"	"USA"	"PG"	110	1.78	3500000	2848578	"David Nixon"	"Robyn Lively"	"Michael Bolten"	"Christopher Schmidt"	13	439	399	221	1567	0	0	3942	65	19	6.3
"Letters to Juliet "	2010	"Comedy|Drama|Romance"	"English"	"USA"	"PG"	105	2.35	3e+07	53021560	"Gary Winick"	"Vanessa Redgrave"	"Marcia DeBonis"	"Luisa Ranieri"	56	898	60	22	1026	13000	1	74630	156	159	6.5
"Lies in Plain Sight "	2010	"Drama"	"English"	"USA"	"TV-PG"	89	1.78	2100000	NA	"Patricia Cardoso"	"Rosie Perez"	"Martha Higareda"	"Cheyenne Haynes"	15	919	718	650	3873	162	1	544	4	NA	6.3
"Little Fockers "	2010	"Comedy|Romance"	"English"	"USA"	"PG-13"	98	1.85	1e+08	148383780	"Paul Weitz"	"Robert De Niro"	"Blythe Danner"	"Teri Polo"	80	22000	713	708	24082	0	10	85531	152	180	5.5
"Little White Lies "	2010	"Comedy|Drama"	"French"	"France"	"Not Rated"	134	2.35	2.5e+07	183662	"Guillaume Canet"	"François Cluzet"	"Benoît Magimel"	"Gilles Lellouche"	0	541	173	92	890	0	6	18395	48	118	7.1
"Loose Cannons "	2010	"Comedy|Drama|Romance"	"Italian"	"Italy"	NA	110	2.35	NA	NA	"Ferzan Ozpetek"	"Riccardo Scamarcio"	"Alessandro Preziosi"	"Lunetta Savino"	798	580	26	16	662	0	9	8667	29	81	7.3
"Lottery Ticket "	2010	"Comedy"	"English"	"USA"	"PG-13"	99	2.35	NA	24708699	"Erik White"	"Brandon T. Jackson"	"Loretta Devine"	"Shad Moss"	17	918	912	826	4797	0	7	7991	30	62	4.9
"Love & Other Drugs "	2010	"Comedy|Drama|Romance"	"English"	"USA"	"R"	112	1.85	3e+07	32357532	"Edward Zwick"	"Jake Gyllenhaal"	"Anne Hathaway"	"Judy Greer"	380	15000	11000	2000	31278	24000	0	143368	215	219	6.7
"Love Ranch "	2010	"Comedy|Drama|Romance|Sport"	"English"	"USA"	"R"	117	1.78	2.5e+07	134904	"Taylor Hackford"	"Scout Taylor-Compton"	"Bai Ling"	"Gil Birmingham"	138	908	581	416	3204	636	9	2395	17	49	5.7
"MacGruber "	2010	"Action|Comedy|Romance"	"English"	"USA"	"R"	95	2.35	1e+07	8460995	"Jorma Taccone"	"Jasper Cole"	"Will Forte"	"Powers Boothe"	434	1000	622	472	2618	0	3	35888	125	163	5.5
"Machete "	2010	"Action|Crime|Thriller"	"English"	"USA"	"R"	105	1.85	10500000	26589953	"Ethan Maniquis"	"Robert De Niro"	"Don Johnson"	"Cheech Marin"	20	22000	982	844	26233	44000	1	165792	392	391	6.7
